#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Unsecreted_CRE_PIA13791.1 -          2TM                  PF13239.8        4.4    3.4  10.6       1.3    5.1   0.0   2.7   3   0   0   3   3   3   0 -
Unsecreted_AAM_KAG0266782.1 -          3Beta_HSD            PF01073.21   8.5e-09   30.5   0.0   2.2e-08   29.1   0.0   1.6   1   1   0   1   1   1   1 -
Unsecreted_EMU_KAF7750675.1 -          3Beta_HSD            PF01073.21   3.9e-05   18.5   0.0   0.00015   16.6   0.0   1.8   1   1   0   1   1   1   1 -
Unsecreted_OCA_KAF4587292.1 -          3Beta_HSD            PF01073.21   6.7e-05   17.7   0.0   0.00013   16.8   0.0   1.4   1   1   0   1   1   1   1 -
Unsecreted_DDI_XP_638336.1 -          60KD_IMP             PF02096.22     0.027   10.1  11.0     0.069    8.8   8.2   2.5   2   0   0   2   2   2   0 -
Unsecreted_CAL_XP_716044.2 -          7TMR-DISM_7TM        PF07695.13       6.7    2.2  42.1      0.05    9.2  16.8   2.7   2   1   0   2   2   2   0 -
Unsecreted_VNO_XP_028499451.1               -          7tm_2                PF00002.26   3.4e-09   32.0  13.3   3.4e-09   32.0  13.3   1.4   1   1   0   1   1   1   1 -
Unsecreted_CPA_KAF3768918.1                 -          7tm_2                PF00002.26   1.4e-08   30.0  13.7   1.4e-08   30.0  13.7   1.5   1   1   0   1   1   1   1 -
Unsecreted_CMA_jgi_Corma2_736035_gm1.1687_g -          7tm_2                PF00002.26   2.2e-08   29.4  17.8   2.2e-08   29.4  17.8   1.9   1   1   1   2   2   2   1 -
Unsecreted_AMA_KNE64458.1 -          7tm_3                PF00003.24     1e-18   63.8  22.7   1.8e-18   63.1  22.7   1.4   1   0   0   1   1   1   1 -
Unsecreted_AMA_KNE64459.1 -          7tm_3                PF00003.24     1e-18   63.8  22.7   1.8e-18   63.1  22.7   1.4   1   0   0   1   1   1   1 -
Unsecreted_MCI_L0F63_001385-T1                     -          AAA                  PF00004.31   2.6e-26   88.3   0.0   4.6e-26   87.5   0.0   1.4   1   0   0   1   1   1   1 -
Unsecreted_FOL_RSL93468.1                          -          AAA                  PF00004.31   1.1e-19   66.8   0.0     2e-19   66.1   0.0   1.4   1   0   0   1   1   1   1 -
Unsecreted_THA_XP_024779161.1                      -          AAA                  PF00004.31   2.9e-19   65.5   0.0   1.2e-18   63.5   0.0   2.2   1   0   0   1   1   1   1 -
Unsecreted_BME_ORX97418.1                          -          AAA                  PF00004.31   7.2e-09   31.9   0.2   1.8e-08   30.6   0.2   1.7   1   1   0   1   1   1   1 -
Unsecreted_DDI_XP_644031.1                         -          AAA                  PF00004.31   5.4e-05   19.4   0.1     0.032   10.4   0.0   3.8   2   2   0   2   2   2   1 -
Unsecreted_RIR_XP_025170318.1                      -          AAA                  PF00004.31   6.3e-05   19.1   1.7    0.0014   14.8   0.0   3.3   2   1   1   3   3   3   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA                  PF00004.31    0.0021   14.2   0.0    0.0046   13.1   0.0   1.6   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_640914.1                         -          AAA                  PF00004.31    0.0027   13.9   2.0     0.018   11.2   0.0   2.6   1   1   1   2   2   2   1 -
Unsecreted_RIR_XP_025189029.1                      -          AAA                  PF00004.31    0.0032   13.6   0.0    0.0091   12.2   0.0   1.8   1   1   0   1   1   1   1 -
Unsecreted_TMA_KAF8225790.1                        -          AAA                  PF00004.31    0.0062   12.7   1.7       0.1    8.8   0.1   3.3   3   2   0   3   3   3   1 -
Unsecreted_MCI_L0F63_000888-T1 -          AAA_11               PF13086.8    5.1e-06   22.1   0.3   8.6e-06   21.4   0.3   1.3   1   0   0   1   1   1   1 -
Unsecreted_THA_XP_024779161.1  -          AAA_11               PF13086.8      0.068    8.6   3.5      0.36    6.2   0.0   2.4   2   0   0   2   2   2   0 -
Unsecreted_MCI_L0F63_000888-T1 -          AAA_12               PF13087.8    3.1e-17   58.5   0.0   3.4e-13   45.4   0.0   2.2   1   1   1   2   2   2   2 -
Unsecreted_RIR_XP_025189029.1 -          AAA_14               PF13173.8    0.00026   16.7   0.0    0.0046   12.7   0.0   2.7   1   1   0   1   1   1   1 -
Unsecreted_DDI_XP_640914.1    -          AAA_14               PF13173.8     0.0097   11.6   0.1    0.0097   11.6   0.1   2.7   1   1   0   2   2   2   1 -
Unsecreted_TMA_KAF8225790.1 -          AAA_15               PF13175.8     0.0065   11.7   0.9     0.022    9.9   0.0   2.2   3   0   0   3   3   3   1 -
Unsecreted_TMA_KAF8225790.1                        -          AAA_16               PF13191.8      1e-08   31.4   0.5   0.00053   16.1   0.0   2.6   2   0   0   2   2   2   2 -
Unsecreted_ASP_KAF7977175.1                        -          AAA_16               PF13191.8    2.2e-08   30.3   0.0   9.1e-08   28.3   0.0   2.1   1   0   0   1   1   1   1 -
Unsecreted_RIR_XP_025170318.1                      -          AAA_16               PF13191.8    3.2e-07   26.6   0.1   2.4e-06   23.7   0.0   2.5   3   1   0   3   3   3   1 -
Unsecreted_THA_XP_024772805.1                      -          AAA_16               PF13191.8    1.6e-06   24.3   0.1   5.6e-06   22.5   0.0   2.0   2   0   0   2   2   1   1 -
Unsecreted_FOL_RSL93468.1                          -          AAA_16               PF13191.8    4.2e-06   22.9   0.9   2.8e-05   20.2   0.3   2.7   2   1   0   2   2   2   1 -
Unsecreted_BME_ORX97418.1                          -          AAA_16               PF13191.8    4.8e-05   19.5   0.3   0.00018   17.6   0.1   2.0   2   1   0   2   2   2   1 -
Unsecreted_LGO_jgi_LeugonAS2_1_2390860_gm4.38203_g -          AAA_16               PF13191.8    5.5e-05   19.3   0.1   0.00024   17.2   0.1   2.0   1   1   0   1   1   1   1 -
Unsecreted_THA_XP_024779161.1                      -          AAA_16               PF13191.8    5.7e-05   19.2   0.0   0.00022   17.3   0.0   2.0   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_640914.1                         -          AAA_16               PF13191.8    8.7e-05   18.6   0.0   0.00018   17.7   0.0   1.5   1   0   0   1   1   1   1 -
Unsecreted_DDI_XP_644031.1                         -          AAA_16               PF13191.8    0.00045   16.3   0.0      0.27    7.3   0.0   2.5   2   0   0   2   2   2   2 -
Unsecreted_DDI_XP_645911.1                         -          AAA_16               PF13191.8    0.00064   15.8   0.0   0.00089   15.4   0.0   1.6   1   1   0   1   1   1   1 -
Unsecreted_RAL_EPZ31047.1                          -          AAA_16               PF13191.8    0.00065   15.8   0.0    0.0034   13.5   0.0   2.1   2   0   0   2   2   2   1 -
Unsecreted_SST_KIJ34954.1                          -          AAA_16               PF13191.8     0.0013   14.8   0.0    0.0018   14.3   0.0   1.6   1   1   0   1   1   1   1 -
