#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Secreted_PRU_jgi_Orpsp1_1_1186991_evm.model.d7180000054674.1 -          2CSK_N               PF08521.12    0.0043   11.6   0.0    0.0074   10.9   0.0   1.3   1   0   0   1   1   1   1 -
Secreted_AMA_KNE60532.1 -          7tm_3                PF00003.24   9.4e-21   69.3  19.9   1.7e-20   68.5  19.9   1.5   1   0   0   1   1   1   1 -
Secreted_RIR_XP_025177017.1 -          7TM_GPCR_Str         PF10326.11   0.00014   15.9   2.0   0.00018   15.4   2.0   1.1   1   0   0   1   1   1   1 -
Secreted_VNO_XP_028491998.1 -          AAA_lid_3            PF17862.3    0.00022   15.7   1.1   0.00033   15.1   1.1   1.2   1   0   0   1   1   1   1 -
Secreted_RAL_EPZ34924.1 -          ABC1                 PF03109.18   7.1e-08   26.3   0.0   2.2e-06   21.4   0.0   2.6   2   0   0   2   2   2   2 -
Secreted_NCR_XP_956657.1                                     -          Abhydrolase_1        PF00561.22   0.00034   14.9   0.1   0.00048   14.3   0.1   1.3   1   0   0   1   1   1   1 -
Secreted_VNO_XP_028491691.1                                  -          Abhydrolase_1        PF00561.22   0.00068   13.8   0.1     0.001   13.2   0.1   1.4   1   1   0   1   1   1   1 -
Secreted_FFL_RSL86534.1                                      -          Abhydrolase_1        PF00561.22    0.0011   13.1   0.1    0.0017   12.6   0.1   1.3   1   1   0   1   1   1   1 -
Secreted_FOL_RSL93466.1                                      -          Abhydrolase_1        PF00561.22    0.0011   13.1   0.1    0.0017   12.6   0.1   1.3   1   1   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1179501_evm.model.c7180000069556.1 -          Abhydrolase_1        PF00561.22    0.0013   12.9   0.0    0.0044   11.2   0.0   1.8   1   1   1   2   2   2   1 -
Secreted_PRU_jgi_Orpsp1_1_1186991_evm.model.d7180000054674.1 -          Abhydrolase_2        PF02230.18   1.1e-07   26.5   0.0   6.7e-07   23.8   0.0   2.2   2   1   0   2   2   2   1 -
Secreted_PRU_jgi_Orpsp1_1_1188730_evm.model.d7180000066803.1 -          Abhydrolase_2        PF02230.18   1.9e-06   22.4   0.0   1.1e-05   19.9   0.0   2.1   1   1   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1179501_evm.model.c7180000069556.1 -          Abhydrolase_2        PF02230.18   0.00017   16.0   0.0   0.00026   15.4   0.0   1.2   1   0   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1179501_evm.model.c7180000069556.1 -          Abhydrolase_6        PF12697.9     0.0007   14.8   0.0   0.00098   14.3   0.0   1.2   1   0   0   1   1   1   1 -
Secreted_NCR_XP_956657.1                                     -          Abhydrolase_6        PF12697.9     0.0017   13.5   0.0     0.002   13.2   0.0   1.2   1   0   0   1   1   1   1 -
