# SignalP-5.0	Organism: Eukarya	Timestamp: 20220322163127
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
CIM_XP_001242719.1	SP(Sec/SPI)	0.998351	0.001649	CS pos: 18-19. VAA-AP. Pr: 0.5756
CMA_jgi_Corma2_609406_gw1.69.76.1	OTHER	0.171617	0.828383	
CMA_jgi_Corma2_611541_gw1.293.25.1	OTHER	0.013599	0.986401	
CMI_XP_006672063.1	SP(Sec/SPI)	0.999061	0.000939	CS pos: 16-17. VTA-AP. Pr: 0.4852
CMI_XP_006673167.1	SP(Sec/SPI)	0.995006	0.004994	CS pos: 16-17. AAA-VP. Pr: 0.4806
CMI_XP_006668751.1	SP(Sec/SPI)	0.999138	0.000862	CS pos: 15-16. VLA-AP. Pr: 0.7485
CMI_XP_006672043.1	OTHER	0.003929	0.996071	
CMI_XP_006672055.1	SP(Sec/SPI)	0.999281	0.000719	CS pos: 15-16. ALA-AP. Pr: 0.7935
CPA_KAF3767202.1	SP(Sec/SPI)	0.991639	0.008361	CS pos: 16-17. AVA-GY. Pr: 0.4607
CPA_KAF3762058.1	SP(Sec/SPI)	0.996002	0.003998	CS pos: 17-18. AMA-SP. Pr: 0.5771
CPA_KAF3766717.1	SP(Sec/SPI)	0.998501	0.001499	CS pos: 17-18. VAA-SP. Pr: 0.7828
EFE_QPG95159.1	SP(Sec/SPI)	0.978183	0.021817	CS pos: 16-17. AIA-AP. Pr: 0.5777
EFE_QPG98633.1	SP(Sec/SPI)	0.999248	0.000752	CS pos: 16-17. TLA-VP. Pr: 0.7163
EFE_QPH09696.1	SP(Sec/SPI)	0.999833	0.000167	CS pos: 18-19. ADA-DD. Pr: 0.5744
FFL_RSL75671.1	SP(Sec/SPI)	0.971888	0.028112	CS pos: 17-18. ALA-GP. Pr: 0.8840
FFL_RSL79405.1	SP(Sec/SPI)	0.997848	0.002152	CS pos: 15-16. VCA-LP. Pr: 0.2104
FOL_RSL91729.1	SP(Sec/SPI)	0.985991	0.014009	CS pos: 17-18. ALA-GP. Pr: 0.7509
FOL_RSM10076.1	SP(Sec/SPI)	0.998163	0.001837	CS pos: 21-22. SEK-RQ. Pr: 0.1804
FPI_EPS93503.1	SP(Sec/SPI)	0.995854	0.004146	CS pos: 19-20. VLA-LP. Pr: 0.5743
FPI_EPS93504.1	SP(Sec/SPI)	0.995122	0.004878	CS pos: 21-22. AHA-LP. Pr: 0.6996
FPI_EPT04786.1	SP(Sec/SPI)	0.998530	0.001470	CS pos: 19-20. VAA-AP. Pr: 0.7343
FPI_EPT04787.1	SP(Sec/SPI)	0.996770	0.003230	CS pos: 19-20. VAA-AP. Pr: 0.6061
FPI_EPT04789.1	OTHER	0.007362	0.992638	
FPI_EPT04793.1	SP(Sec/SPI)	0.967609	0.032391	CS pos: 19-20. ASA-QW. Pr: 0.7263
AAM_KAG0250091.1	OTHER	0.005037	0.994963	
AAM_KAG0253715.1	OTHER	0.001606	0.998394	
AAM_KAG0254093.1	OTHER	0.012543	0.987457	
AAM_KAG0255110.1	SP(Sec/SPI)	0.997132	0.002868	CS pos: 27-28. ASA-QE. Pr: 0.4827
AAM_KAG0259609.1	OTHER	0.003419	0.996581	
AAM_KAG0265510.1	OTHER	0.011273	0.988727	
AAM_KAG0266782.1	OTHER	0.002398	0.997602	
AAM_KAG0267671.1	SP(Sec/SPI)	0.915476	0.084524	CS pos: 26-27. SSA-AM. Pr: 0.5850
AAM_KAG0267954.1	SP(Sec/SPI)	0.977621	0.022379	CS pos: 25-26. VQA-HT. Pr: 0.9239
AAM_KAG0269345.1	OTHER	0.002926	0.997074	
AAM_KAG0269426.1	OTHER	0.000619	0.999381	
AAM_KAG0269909.1	OTHER	0.001659	0.998341	
AAM_KAG0270108.1	OTHER	0.000653	0.999347	
AAM_KAG0270168.1	SP(Sec/SPI)	0.999837	0.000163	CS pos: 20-21. IQA-AP. Pr: 0.8271
AMA_KNE56460.1	OTHER	0.000827	0.999173	
AMA_KNE57112.1	SP(Sec/SPI)	0.936762	0.063238	CS pos: 33-34. AGA-AD. Pr: 0.5203
AMA_KNE57256.1	OTHER	0.002154	0.997846	
AMA_KNE57654.1	OTHER	0.002386	0.997614	
AMA_KNE60532.1	SP(Sec/SPI)	0.921117	0.078883	CS pos: 23-24. ILA-AG. Pr: 0.3112
AMA_KNE63000.1	OTHER	0.004828	0.995172	
AMA_KNE63623.1	SP(Sec/SPI)	0.976254	0.023746	CS pos: 24-25. TCA-HS. Pr: 0.3472
AMA_KNE64010.1	OTHER	0.001486	0.998514	
AMA_KNE64458.1	OTHER	0.015076	0.984924	
AMA_KNE64459.1	OTHER	0.015076	0.984924	
AMA_KNE64826.1	OTHER	0.025910	0.974090	
AMA_KNE65319.1	OTHER	0.001223	0.998777	
AMA_KNE65989.1	OTHER	0.002306	0.997694	
AMA_KNE66441.1	OTHER	0.001154	0.998846	
AMA_KNE67063.1	OTHER	0.001304	0.998696	
AMA_KNE67274.1	OTHER	0.004869	0.995131	
AMA_KNE67520.1	OTHER	0.002588	0.997412	
AMA_KNE67760.1	OTHER	0.125400	0.874600	
AMA_KNE68021.1	SP(Sec/SPI)	0.559541	0.440459	CS pos: 46-47. ARA-HS. Pr: 0.4448
